Product ID,Variant ID,Handle,Title,Original Price,Discounted Price,Discount %,Category
7333513461961,40424808546505,cd-young-lola-this-wasnt-meant-for-you-anyway-cd,This Wasn’t Meant For You Anyway,30.99,30.99,0,MUSIC
7333513625801,40424808710345,vinyl-smashing-pumpkins-siamese-dream-vinyl-2lp-1,Siamese Dream (Vinyl),93.99,93.99,0,MUSIC
7333511659721,40424806744265,vinyl-think-well-give-you-a-buzz-vinyl-lp,We'll Give You A Buzz (Vinyl),54.99,54.99,0,MUSIC
7333511626953,40424806711497,cd-think-well-give-you-a-buzz-cd,We'll Give You A Buzz,18.99,18.99,0,MUSIC
7333510938825,40424806023369,vinyl-charli-xcx-crash-vinyl-lp,Crash (vinyl),51.99,51.99,0,MUSIC
7333510906057,40424805990601,cd-charli-xcx-crash-cd-1,Crash,27.99,27.99,0,MUSIC
7204422090826,40365416939594,playmax-mx1-universal-gaming-headset-pink,Playmax MX1 Universal Gaming Headset (Pink),29.0,23.0,20.69,GAMES HARDWARE
7204394434634,40365390037066,playmax-mx1-universal-gaming-headset-jungle-camo,Playmax MX1 Universal Gaming Headset (Jungle Camo),29.0,23.0,20.69,GAMES HARDWARE
7333510873289,40424805957833,cd-bon-iver-bon-iver-cd,Bon Iver,29.99,29.99,0,MUSIC
7333510611145,40424805695689,vinyl-japanese-breakfast-for-melancholy-brunettes-sad-women-vinyl-lp,For Melancholy Brunettes (& Sad Women) (Vinyl),57.99,57.99,0,MUSIC
7333510578377,40424805662921,cd-japanese-breakfast-for-melancholy-brunettes-sad-women-cd,For Melancholy Brunettes (& Sad Women),30.99,30.99,0,MUSIC
7333510480073,40424805564617,vinyl-clapton-eric-unplugged-enhanced-edition-vinyl-3lp,Unplugged: Enhanced Edition (Vinyl),152.99,152.99,0,MUSIC
7333510349001,40424805433545,cd-clapton-eric-unplugged-enhanced-edition-2cd,Unplugged: Enhanced Edition,42.99,42.99,0,MUSIC
7333510414537,40424805499081,cd-rumer-in-session-cd,In Session,29.99,29.99,0,MUSIC
7333510185161,40424805269705,vinyl-trivium-ascendancy-limited-candy-corn-vinyl-2lp-colour-may-vary,Ascendancy (Limited Candy Corn Vinyl),127.99,127.99,0,MUSIC
7333510152393,40424805236937,vinyl-rush-presto-vinyl-lp,Presto (Vinyl),65.99,65.99,0,MUSIC
7333510021321,40424805105865,vinyl-steely-dan-katy-lied-vinyl-lp,Katy Lied  (Vinyl),70.99,70.99,0,MUSIC
7333509988553,40424805073097,cd-decapitated-nihility-cd,Nihility,30.99,30.99,0,MUSIC
7333509923017,40424805007561,vinyl-god-machine-the-one-last-laugh-in-a-place-of-dying-vinyl-2lp,One Last Laugh In A Place Of Dying (Vinyl),74.99,74.99,0,MUSIC
7333509890249,40424804974793,vinyl-god-machine-the-scenes-from-the-second-storey-vinyl-2lp,Scenes From The Second Storey (Vinyl),110.99,110.99,0,MUSIC
7333509857481,40424804942025,cd-cymande-renascence-cd,Renascence,30.99,30.99,0,MUSIC
7333503074505,40424797962441,ryuichi-sakamoto-opus-2023-dvd,Ryuichi Sakamoto | Opus,29.98,14.99,50.0,MOVIES
7333504417993,40424799305929,exhuma-2023-dvd,Exhuma,29.98,29.98,0,MOVIES
7333504155849,40424799076553,freuds-last-session-2023-dvd,Freud's Last Session,29.98,29.98,0,MOVIES
7333504123081,40424799043785,dr-stone-season-3-part-2-2024-blu-ray-dvd,Dr. Stone - Season 3 Part 2,66.98,33.49,50.0,MOVIES
7333504778441,40424799666377,the-roundup-punishment-2024-dvd,The Roundup: Punishment,29.98,14.99,50.0,MOVIES
7333503631561,40424798519497,in-dreams-1999-dvd,In Dreams,19.98,9.99,50.0,MOVIES
7333504188617,40424799011017,sons-dvd,Sons,29.98,14.99,50.0,MOVIES
7333504680137,40424799568073,sound-euphonium-season-1-2015-blu-ray,Sound! Euphonium - Season 1,66.98,33.49,50.0,MOVIES
7333504221385,40424799109321,demon-slayer-kimetsu-no-yaiba-entertainment-district-arc-2022-blu-ray,Demon Slayer: Kimetsu No Yaiba: Entertainment District Arc,66.98,66.98,0,MOVIES
7333503860937,40424798748873,demon-slayer-kimetsu-no-yaiba-mugen-train-arc-2021-blu-ray,Demon Slayer: Kimetsu No Yaiba: Mugen Train Arc,47.98,47.98,0,MOVIES
7333504581833,40424799469769,your-fat-friend-dvd,Your Fat Friend,24.98,12.49,50.0,MOVIES
7333504254153,40424799142089,exhuma-2023-blu-ray,Exhuma,34.98,17.49,50.0,MOVIES
7333504352457,40424799273161,world-in-my-corner-1956-dvd,World in My Corner,19.98,9.99,50.0,MOVIES
7333504319689,40424799207625,ren-stimpy-show-the-1991-dvd,"Ren & Stimpy Show, The -",84.98,84.98,0,MOVIES
7333504090313,40424798978249,club-zero-2023-dvd,Club Zero,24.98,12.49,50.0,MOVIES
7333504549065,40424799404233,whitstable-pearl-series-3-2024-dvd,Whitstable Pearl - Series 3,34.98,34.98,0,MOVIES
7333504024777,40424798912713,blur-to-the-end-live-at-wembley-stadium-2023-blu-ray,Blur - To The End & Live at Wembley Stadium,34.98,17.49,50.0,MOVIES
7333503500489,40424798388425,in-dreams-1999-blu-ray,In Dreams,34.98,17.49,50.0,MOVIES
7333503664329,40424798552265,blur-to-the-end-live-at-wembley-stadium-2023-dvd,Blur - To The End & Live at Wembley Stadium,24.98,12.49,50.0,MOVIES
7333504712905,40424799600841,one-piece-uncut-collection-68-2018-dvd,One Piece (Uncut) Collection 68,47.98,23.99,50.0,MOVIES
7333504483529,40424799371465,the-stones-and-brian-jones-2023-dvd,The Stones and Brian Jones,24.98,12.49,50.0,MOVIES
7333503992009,40424798879945,jam-jerusalem-the-complete-collection-2006-dvd,Jam & Jerusalem: The Complete Collection,37.98,37.98,0,MOVIES
7333503762633,40424798650569,hammarskjold-fight-for-peace-2023-dvd,Hammarskjöld - Fight for Peace,29.98,14.99,50.0,MOVIES
7333503336649,40424798224585,fifteen-love-the-mini-series-2023-dvd,Fifteen-Love: The Mini-Series,34.98,17.49,50.0,MOVIES
7333504876745,40424799764681,memory-2024-dvd,Memory,29.98,14.99,50.0,MOVIES
7333503271113,40424798159049,12-12-the-day-2023-dvd,12.12: The Day,29.98,14.99,50.0,MOVIES
7333509824713,40424804909257,vinyl-alien-weaponry-te-ra-vinyl-lp,Te Ra (Vinyl),76.99,76.99,0,MUSIC
7333509791945,40424804876489,cd-alien-weaponry-te-ra-cd,Te Ra,30.99,30.99,0,MUSIC
7333509234889,40424804319433,cd-chaos-in-the-cbd-a-deeper-life-cd-digipack-cd-dvd,A Deeper Life (CD Digipack),25.99,25.99,0,MUSIC
7333508284617,40424803270857,vinyl-serebii-dime-vinyl-lp,Dime (vinyl),65.99,65.99,0,MUSIC
7333506908361,40424801894601,cd-electric-six-fire-reissue-cd,Fire (Reissue),26.99,26.99,0,MUSIC
7333506941129,40424801927369,vinyl-electric-six-fire-vinyl-reissue-lp,Fire (Vinyl) (Reissue),51.99,51.99,0,MUSIC
7333502877897,40424797733065,vinyl-krauss-alison-arcadia-vinyl-lp,Arcadia (Vinyl),65.99,65.99,0,MUSIC
7333502812361,40424797700297,cd-krauss-alison-arcadia-cd,Arcadia,30.99,30.99,0,MUSIC
7333502845129,40424797765833,cd-cradle-of-filth-the-screaming-of-the-valkyries-cd,The Screaming Of The Valkyries,33.99,33.99,0,MUSIC
7333473386697,40424768340169,fire-country-season-1-6dvd,Fire Country - Season 1,56.98,56.98,0,MOVIES
7333492687049,40424787509449,sony-ult-field-7-portable-party-speaker,Sony ULT FIELD 7 Portable Party Speaker,558.0,558.0,0,AUDIO
7333500027081,40424794882249,cd-zimmer-hans-the-world-of-hans-zimmer-part-ii-a-new-dimension-2cd,The World Of Hans Zimmer – Part II: A New Dimension,28.99,28.99,0,MUSIC
7333500223689,40424795046089,vinyl-rush-test-for-echo-vinyl-2lp,Test For Echo (Vinyl),95.99,95.99,0,MUSIC
7333500125385,40424794915017,vinyl-rush-roll-the-bones-vinyl-lp,Roll The Bones (Vinyl),65.99,65.99,0,MUSIC
7333500190921,40424795013321,vinyl-rush-counterparts-vinyl-2lp,Counterparts (Vinyl),64.99,64.99,0,MUSIC
7333500092617,40424794947785,vinyl-cult-the-beyond-good-and-evil-limited-red-green-vinyl-2lp-colour-may-vary,Beyond Good And Evil (Limited Red / Green Vinyl),95.99,95.99,0,MUSIC
7333499928777,40424794751177,cd-ls-dunes-violet-cd,VIOLET,32.99,32.99,0,MUSIC
7333499666633,40424794489033,vinyl-cymande-renascence-coral-colour-vinyl-lp-colour-may-vary,Renascence (Coral Colour Vinyl),44.99,44.99,0,MUSIC
7333506777289,40424801763529,cd-lady-gaga-mayhem-cd,Mayhem,25.99,25.99,0,MUSIC
